                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10505,               0.098857,                0.03804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10646,               0.077381,               0.031125,                      0,                 0.0802,                 0.0022,                 0.0022
                      1,                0.10205,               0.077345,               0.036242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.1024,               0.070827,               0.033579,                      0,               0.059444,              0.0044443,              0.0044443
                      2,                0.10442,               0.066076,               0.037832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.10321,               0.072374,               0.030415,                      0,               0.038632,              0.0066317,              0.0066317
                      3,               0.096361,                0.06371,               0.034193,                      0,             0.00025641,               0.012987,             0.00013011,             2.6022e-05,             0.00012821,              0.0064935,             6.4692e-05,             1.2938e-05,                0.10053,               0.066487,               0.029977,                      0,               0.017762,              0.0087622,              0.0087622
                      4,               0.094266,               0.072463,               0.031353,                      0,             0.00025641,               0.012987,             0.00013576,             4.0678e-05,             0.00012821,              0.0064935,              6.557e-05,              6.557e-06,               0.096171,                0.10162,               0.031207,                      0,               0.009505,               0.009505,               0.009505
                      5,               0.097483,                0.06962,                0.03143,                      0,             0.00064103,               0.032468,             0.00033417,             5.9914e-05,             0.00064103,               0.032468,             0.00033426,             7.3183e-05,               0.093469,               0.070573,               0.030396,                      0,               0.009505,               0.009505,               0.009505
                      6,               0.099883,               0.061062,               0.035061,                      0,              0.0064103,                0.32468,              0.0058698,              0.0012868,              0.0053846,                0.27273,              0.0050828,              0.0011075,                 0.0947,               0.055084,               0.029647,                      0,              0.0093813,              0.0093813,              0.0093813
                      7,               0.086089,               0.048743,               0.030297,                      0,              0.0033333,                0.16883,              0.0029778,             0.00065934,              0.0030769,                0.15584,              0.0032689,             0.00060556,                0.10349,               0.064103,               0.023149,                      0,              0.0092575,              0.0092575,              0.0092575
                      8,               0.088581,               0.058749,               0.026965,                      0,                  0.005,                0.25325,              0.0055872,              0.0011226,                  0.005,                0.25325,              0.0048706,             0.00074494,               0.095497,               0.065498,               0.027664,                      0,              0.0091337,              0.0091337,              0.0091337
                      9,               0.093768,               0.055106,                0.03106,                      0,              0.0091026,                0.46104,               0.019399,              0.0045139,              0.0088462,                0.44805,               0.019365,              0.0042283,                0.09301,               0.048856,               0.030365,                      0,                0.00901,                0.00901,                0.00901
                     10,               0.090071,               0.053889,               0.030615,                      0,                0.01018,                0.46104,                 0.0138,              0.0031477,               0.023613,                0.27273,               0.018377,               0.004315,               0.086855,               0.049619,               0.030274,                      0,              0.0088863,              0.0088863,              0.0088863
                     11,               0.080759,               0.051532,               0.033914,                      0,               0.058488,                0.16234,               0.035748,              0.0081162,               0.063167,                0.17532,               0.039084,              0.0086217,                0.08231,               0.049899,               0.032776,                      0,              0.0087625,              0.0087625,              0.0087625
                     12,               0.074649,               0.048864,               0.030455,                      0,               0.020869,                0.18182,               0.014422,              0.0038233,               0.017142,                0.14935,               0.011743,              0.0022449,               0.087682,                0.05828,               0.041957,                      0,              0.0086388,              0.0086388,              0.0086388
                     13,               0.082366,               0.052567,               0.029929,                      0,               0.028586,                0.40909,               0.028043,              0.0075198,               0.038997,                0.25974,               0.025797,              0.0079407,               0.086417,               0.053512,               0.031439,                      0,               0.008515,               0.008515,               0.008515
                     14,                0.07914,                0.04838,                 0.0294,                      0,                0.12979,                0.11688,               0.044496,              0.0094868,                0.11809,               0.077922,               0.040341,              0.0095842,               0.082262,               0.049085,               0.035887,                      0,              0.0083913,              0.0083913,              0.0083913
                     15,               0.074891,               0.047185,               0.031835,                      0,                0.11618,                0.13636,               0.070584,               0.016583,                 0.1148,                0.13636,               0.068974,               0.019527,               0.077463,               0.047622,                0.03584,                      0,              0.0082675,              0.0082675,              0.0082675
                     16,               0.079512,               0.049518,               0.037076,                      0,               0.026396,               0.038961,              0.0056829,              0.0014397,               0.021996,               0.032468,              0.0057503,              0.0014017,               0.083728,               0.055019,               0.049768,                      0,              0.0081437,              0.0081437,              0.0081437
                     17,               0.077863,               0.047248,                0.03171,                      0,                0.13053,                0.12338,               0.064488,               0.013164,                0.13585,                0.11039,               0.062789,               0.016416,               0.082856,               0.047269,               0.031314,                      0,                0.00802,                0.00802,                0.00802
                     18,               0.079581,               0.047347,               0.036431,                      0,                0.15097,                0.16234,               0.088715,               0.024868,                0.15701,                0.16883,               0.094241,               0.027551,                0.07383,               0.046625,               0.036047,                      0,              0.0078963,              0.0078963,              0.0078963
                     19,                0.07199,               0.046443,               0.032311,                      0,                0.13416,               0.058442,               0.023631,              0.0051767,               0.099185,               0.051948,               0.020686,              0.0038681,               0.080959,               0.051386,               0.049573,                      0,              0.0077725,              0.0077725,              0.0077725
                     20,               0.076532,               0.048129,               0.033349,                      0,                 0.1845,                0.11039,               0.087134,               0.024542,                0.17818,                 0.1039,                0.07316,               0.016202,               0.075405,               0.046876,                0.03292,                      0,              0.0076488,              0.0076488,              0.0076488
                     21,                 0.0728,               0.046856,               0.036702,                      0,                0.11052,               0.071429,               0.044048,               0.012377,                0.10701,               0.090909,                0.05296,               0.012454,               0.077779,               0.049624,               0.031505,                      0,               0.007525,               0.007525,               0.007525
                     22,               0.068838,               0.046828,               0.034904,                      0,               0.098959,                0.15584,               0.070764,               0.018544,                0.13799,                0.14935,               0.090179,               0.024132,               0.075985,               0.046591,               0.033444,                      0,              0.0074013,              0.0074013,              0.0074013
                     23,               0.070117,               0.046794,               0.031942,                      0,               0.095889,                 0.1039,               0.059751,               0.017972,                0.12755,                0.11688,               0.062834,               0.020755,               0.074168,               0.047381,               0.031042,                      0,              0.0072775,              0.0072775,              0.0072775
                     24,               0.070649,                0.04419,               0.034009,                      0,               0.098403,                0.11039,               0.053515,               0.014426,               0.095323,                0.11688,               0.065624,               0.015474,               0.075734,               0.049007,                0.03401,                      0,              0.0071538,              0.0071538,              0.0071538
                     25,               0.061865,               0.044766,               0.034568,                      0,                0.11685,                0.14286,               0.046851,               0.011624,                0.10091,                0.12338,                0.04736,               0.011781,               0.073575,               0.046596,               0.030807,                      0,                0.00703,                0.00703,                0.00703
                     26,               0.068798,               0.043804,               0.032419,                      0,                0.16365,                0.19313,               0.082916,               0.021856,                0.17435,                0.19481,               0.088122,               0.025512,               0.073329,                0.04599,               0.032031,                      0,              0.0069063,              0.0069063,              0.0069063
                     27,               0.072205,               0.045408,               0.037366,                      0,                 0.1895,                0.19481,                0.12645,               0.040815,                0.19398,                0.19481,                0.11626,               0.039056,               0.069082,               0.046612,               0.032534,                      0,              0.0067825,              0.0067825,              0.0067825
                     28,               0.062241,               0.042655,               0.039803,                      0,                0.15403,                0.20779,                0.11416,               0.032645,                0.15345,                0.25325,                0.12682,               0.038735,                0.06662,               0.044069,               0.033258,                      0,              0.0066587,              0.0066587,              0.0066587
                     29,               0.065498,               0.043214,               0.038189,                      0,                0.26258,                0.18182,                0.15776,                0.04798,                 0.2532,                0.17532,                0.15235,                0.04542,               0.068639,               0.045227,               0.032338,                      0,               0.006535,               0.006535,               0.006535
                     30,               0.064409,               0.041764,               0.034778,                      0,                0.22675,                0.17532,                0.12042,                0.03698,                0.23424,                0.16883,                0.11715,               0.037686,                0.06918,                0.04547,                0.03205,                      0,              0.0064112,              0.0064112,              0.0064112
                     31,               0.069268,               0.044972,               0.038161,                      0,                0.24508,                0.25325,                0.15123,               0.036169,                0.23779,                0.19481,                0.14618,               0.039577,               0.066601,               0.045371,               0.032171,                      0,              0.0062875,              0.0062875,              0.0062875
                     32,               0.062072,               0.042003,                0.03293,                      0,                 0.2753,                0.18182,                0.15018,               0.050667,                0.29853,                0.19481,                0.16134,               0.051647,               0.065997,               0.044326,               0.032431,                      0,              0.0061637,              0.0061637,              0.0061637
                     33,               0.069944,               0.043482,               0.035301,                      0,                0.17781,                0.21429,                0.12035,               0.040887,                0.15783,                0.22078,                0.11923,               0.037666,               0.064152,               0.044327,                 0.0319,                      0,                0.00604,                0.00604,                0.00604
                     34,               0.064544,               0.042518,               0.031748,                      0,                0.21369,                0.23377,                0.15375,               0.046031,                0.19536,                0.21127,                0.15087,                0.04448,               0.063698,               0.044521,               0.032799,                      0,              0.0059163,              0.0059163,              0.0059163
                     35,               0.060442,               0.042451,               0.036672,                      0,                0.16543,                0.20779,                0.12406,                0.03455,                0.22851,                0.13636,                0.10411,               0.030913,               0.067536,               0.046087,               0.032643,                      0,              0.0057925,              0.0057925,              0.0057925
                     36,               0.065156,               0.045379,               0.036201,                      0,                0.23514,                0.22727,                 0.1646,               0.049002,                0.25355,                0.24675,                 0.1744,               0.053018,               0.064882,               0.044046,               0.033701,                      0,              0.0056688,              0.0056688,              0.0056688
                     37,                0.06058,               0.043208,               0.038367,                      0,                0.17972,                0.23377,                0.11484,               0.032908,                  0.181,                0.18831,               0.093063,               0.024364,               0.062873,               0.043811,               0.031903,                      0,               0.005545,               0.005545,               0.005545
                     38,               0.062817,               0.044945,               0.033262,                      0,                0.30504,                0.27922,                0.18741,               0.052602,                0.30903,                0.25974,                 0.1776,               0.052905,               0.063103,               0.043032,               0.032623,                      0,              0.0054212,              0.0054212,              0.0054212
                     39,               0.056404,               0.041799,               0.035271,                      0,                0.25069,                0.24026,                0.17369,               0.047735,                0.26297,                0.24675,                0.18087,               0.049509,               0.064968,               0.043335,               0.033497,                      0,              0.0052975,              0.0052975,              0.0052975
                     40,               0.059815,               0.038475,               0.034129,                      0,                0.19748,                0.24608,                0.14484,               0.051115,                0.19227,                0.23959,                0.12945,               0.040933,                0.05897,               0.042092,                0.03413,                      0,              0.0051737,              0.0051737,              0.0051737
                     41,                0.05627,               0.042578,               0.038788,                      0,                0.25333,                0.26438,                 0.1664,               0.057998,                0.29112,                0.22727,                0.16299,               0.055484,               0.063397,               0.042998,               0.033258,                      0,                0.00505,                0.00505,                0.00505
                     42,               0.060139,               0.040646,               0.033705,                      0,                0.27641,                0.25799,                0.20294,               0.073714,                0.31627,                0.24675,                 0.2127,               0.072519,               0.060227,               0.043408,               0.033415,                      0,              0.0049263,              0.0049263,              0.0049263
                     43,               0.058988,               0.039147,                0.03402,                      0,                0.29785,                0.31169,                0.20236,               0.068827,                0.30147,                0.27922,                0.20142,               0.064273,               0.061089,               0.043054,               0.033039,                      0,              0.0048025,              0.0048025,              0.0048025
                     44,               0.060108,               0.043898,               0.034999,                      0,                0.39319,                0.22727,                0.19924,               0.062162,                0.36666,                0.20779,                0.17614,               0.059204,               0.062716,               0.044632,               0.033893,                      0,              0.0046788,              0.0046788,              0.0046788
                     45,               0.069221,                0.04683,               0.035006,                      0,                0.29437,                0.25325,                0.17984,               0.049796,                0.29281,                0.24675,                 0.1838,               0.061085,               0.063775,               0.043727,               0.032717,                      0,               0.004555,               0.004555,               0.004555
                     46,               0.060287,               0.042599,               0.030285,                      0,                0.19405,                0.32468,                 0.1595,               0.045867,                0.17204,                0.32468,                 0.1409,               0.040005,               0.065945,               0.043105,               0.033221,                      0,              0.0044313,              0.0044313,              0.0044313
                     47,               0.063932,               0.042983,               0.031763,                      0,                0.31194,                0.24026,                0.20897,               0.073614,                0.31194,                0.24026,                0.19695,                0.05975,               0.064226,               0.043112,               0.034236,                      0,              0.0043075,              0.0043075,              0.0043075
                     48,               0.059567,               0.043744,               0.033878,                      0,                0.26195,                0.24026,                 0.1988,                0.06573,                0.24889,                0.22727,                0.16571,               0.055106,                0.06176,               0.043512,               0.033081,                      0,              0.0041837,              0.0041837,              0.0041837
                     49,               0.055182,                 0.0378,                0.03505,                      0,                0.32962,                0.27922,                 0.2352,               0.086772,                0.30662,                0.25974,                 0.2218,               0.072946,               0.059436,               0.041326,                0.03496,                      0,                0.00406,                0.00406,                0.00406
                     50,               0.057485,               0.040008,               0.033701,                      0,                0.31951,                0.22727,                 0.2061,               0.071713,                0.32864,                0.23377,                0.19172,               0.059385,                0.05936,               0.041412,               0.033806,                      0,              0.0039362,              0.0039362,              0.0039362
                     51,               0.051065,                 0.0409,               0.031871,                      0,                 0.3339,                 0.2013,                0.18366,               0.066195,                0.29778,                0.22029,                0.15815,               0.055179,               0.059534,               0.042556,               0.033216,                      0,              0.0038125,              0.0038125,              0.0038125
                     52,               0.055172,               0.041343,               0.037723,                      0,                0.42912,                0.23429,                0.24741,               0.093055,                0.43141,                0.23651,                0.23496,               0.077614,               0.059824,               0.043061,               0.031876,                      0,              0.0036888,              0.0036888,              0.0036888
                     53,               0.059642,               0.039519,               0.032669,                      0,                0.35879,                0.25798,                0.21232,               0.077241,                0.33394,                0.25325,                 0.2163,               0.068619,               0.056564,               0.041197,                0.03143,                      0,               0.003565,               0.003565,               0.003565
                     54,               0.054327,               0.040478,               0.032097,                      0,                0.33884,                0.29221,                0.24803,               0.094834,                0.37533,                0.28571,                0.25331,               0.084034,               0.059208,               0.041396,               0.031841,                      0,              0.0034413,              0.0034413,              0.0034413
                     55,               0.051842,               0.037392,               0.034866,                      0,                0.31322,                0.26623,                0.22372,                0.07966,                0.30717,                0.26487,                0.20967,                 0.0771,               0.061258,               0.041585,               0.031907,                      0,              0.0033175,              0.0033175,              0.0033175
                     56,               0.056917,               0.040962,               0.035972,                      0,                0.30885,                0.32468,                0.24579,               0.084439,                0.32018,                0.30519,                0.24169,               0.081766,               0.058753,                0.04183,               0.032588,                      0,              0.0031938,              0.0031938,              0.0031938
                     57,               0.057663,               0.040142,               0.035334,                      0,                 0.2813,                0.34416,                0.23264,               0.079662,                0.26538,                0.32468,                0.21608,               0.074633,                 0.0562,               0.042101,                0.03315,                      0,                0.00307,                0.00307,                0.00307
                     58,               0.052745,               0.039433,               0.036004,                      0,                0.27559,                0.29221,                0.21678,               0.075364,                0.26291,                0.27922,                0.18752,               0.060475,               0.054898,               0.041471,               0.033348,                      0,              0.0029462,              0.0029462,              0.0029462
                     59,               0.054103,               0.042912,               0.032617,                      0,                0.27508,                 0.3228,                0.22953,               0.080817,                0.28518,                0.33117,                 0.2233,               0.072658,               0.055985,               0.041885,               0.032522,                      0,              0.0028225,              0.0028225,              0.0028225
                     60,               0.053994,                0.04033,               0.031776,                      0,                0.31583,                0.32374,                0.24208,                0.09181,                0.30949,                0.31724,                 0.2247,               0.073732,               0.054921,                0.04106,               0.031999,                      0,              0.0026987,              0.0026987,              0.0026987
                     61,               0.056308,               0.041541,               0.036367,                      0,                0.28019,                0.33766,                 0.2344,               0.084937,                0.28622,                0.29945,                0.21045,               0.069534,               0.056191,               0.040969,               0.031693,                      0,               0.002575,               0.002575,               0.002575
                     62,               0.054919,                 0.0407,               0.034243,                      0,                0.31566,                0.30519,                0.24327,               0.088614,                0.31587,                0.28571,                0.22404,               0.072021,               0.054983,               0.041736,               0.031846,                      0,              0.0024513,              0.0024513,              0.0024513
                     63,               0.052395,               0.037845,                 0.0321,                      0,                0.32103,                0.32238,                0.24176,               0.083853,                0.30809,                 0.3094,                0.21218,               0.064293,               0.054281,               0.041313,               0.031539,                      0,              0.0023275,              0.0023275,              0.0023275
                     64,               0.053695,               0.037427,                0.03168,                      0,                 0.3162,                0.35714,                0.26917,               0.094302,                0.33339,                0.31169,                0.24649,               0.078386,               0.052885,               0.041024,               0.032158,                      0,              0.0022038,              0.0022038,              0.0022038
                     65,               0.054599,               0.038957,               0.032017,                      0,                 0.3237,                0.33766,                0.26306,                0.08764,                 0.3237,                0.33766,                0.25008,               0.068306,               0.053488,               0.041258,                0.03252,                      0,                0.00208,                0.00208,                0.00208
                     66,               0.054325,               0.037273,               0.032098,                      0,                0.32419,                0.30519,                0.24369,               0.079234,                0.31138,                0.29221,                0.23671,               0.071667,               0.052577,               0.040881,               0.032657,                      0,              0.0019563,              0.0019563,              0.0019563
                     67,               0.051745,               0.036347,               0.035642,                      0,                0.35538,                0.33766,                0.25761,               0.087087,                0.31614,                0.33117,                0.23934,               0.074907,               0.052571,               0.039646,               0.032786,                      0,              0.0018325,              0.0018325,              0.0018325
                     68,               0.049607,               0.038154,               0.030923,                      0,                0.31185,                0.35065,                0.25776,               0.084675,                0.29452,                0.33117,                0.22366,               0.071217,                 0.0536,               0.039132,               0.032511,                      0,              0.0017087,              0.0017087,              0.0017087
                     69,               0.048806,               0.035614,                0.03676,                      0,                0.39758,                0.27273,                0.25964,               0.092245,                0.42087,                0.25974,                0.25052,               0.071468,               0.054934,               0.039156,               0.031836,                      0,               0.001585,               0.001585,               0.001585
                     70,               0.051935,               0.037953,               0.037181,                      0,                0.38356,                0.31818,                0.27077,               0.097117,                0.32969,                0.31169,                0.25177,               0.078893,               0.054523,               0.039024,               0.032137,                      0,              0.0014612,              0.0014612,              0.0014612
                     71,               0.049702,               0.036956,               0.035285,                      0,                0.31043,                0.37013,                0.28145,                0.10732,                0.31298,                0.36364,                 0.2666,               0.089669,               0.054217,                0.03918,               0.032456,                      0,              0.0013375,              0.0013375,              0.0013375
                     72,               0.046833,               0.035707,               0.028288,                      0,                0.30167,                0.40909,                0.27847,                0.10971,                0.29856,                0.35714,                0.25208,                0.08625,               0.054065,               0.039533,               0.032321,                      0,              0.0012138,              0.0012138,              0.0012138
                     73,               0.055473,               0.038831,               0.032495,                      0,                0.30382,                 0.3961,                 0.2746,                0.10425,                0.27892,                0.36364,                0.25407,               0.082647,               0.054521,               0.039542,               0.032138,                      0,                0.00109,                0.00109,                0.00109
                     74,               0.050175,               0.037985,               0.038162,                      0,                0.32284,                0.38312,                0.28306,                0.10658,                0.29325,                0.34488,                0.25584,               0.080897,                0.05438,               0.039772,               0.032212,                      0,             0.00096625,             0.00096625,             0.00096625
                     75,               0.049824,               0.035628,                0.02995,                      0,                0.33244,                0.40099,                0.30717,                0.11182,                0.30852,                0.37086,                0.27933,               0.087168,               0.054213,               0.039631,               0.032532,                      0,              0.0008425,              0.0008425,              0.0008425
                     76,               0.054486,               0.037201,                0.03318,                      0,                0.32868,                0.41558,                0.29743,                0.10907,                0.30813,                0.38961,                0.27955,               0.084141,               0.053049,               0.039499,               0.032543,                      0,             0.00071875,             0.00071875,             0.00071875
                     77,                0.04977,                 0.0391,               0.035242,                      0,                0.32847,                0.40909,                0.29848,                 0.1078,                0.30084,                0.37662,                0.27599,               0.083267,               0.052631,               0.039401,               0.032382,                      0,               0.000595,               0.000595,               0.000595
                     78,               0.054123,               0.038324,                0.03695,                      0,                0.31341,                 0.3961,                0.29346,                0.10473,                0.29715,                0.37662,                0.27284,               0.083111,               0.052306,               0.039456,               0.032327,                      0,             0.00047125,             0.00047125,             0.00047125
                     79,                0.04745,               0.038058,               0.030445,                      0,                0.31824,                 0.3961,                0.29084,                0.10725,                0.28437,                0.37013,                0.27034,               0.082445,               0.052291,                0.03941,               0.032681,                      0,              0.0003475,              0.0003475,              0.0003475
                     80,                0.33286,                0.40174,                0.30647,                0.11303,                0.30818,                0.37026,                0.27864,               0.087243,               0.054221,               0.039631,               0.032532,                      0
